timestamp,node_id,node_name,pod_name,usage_cpu,usage_memory,elapsed_sec,simulated_hours
2025-02-24 15:18:43.799451,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3521445,44780,0.0,0.0
2025-02-24 15:18:45.826411,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3521445,44780,2.02696,0.07977787778962782
2025-02-24 15:18:47.849792,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,4.050341,0.15941489190922314
2025-02-24 15:18:49.875866,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,6.076415,0.23915789816723632
2025-02-24 15:18:51.898074,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,8.098623,0.31874874489791066
2025-02-24 15:18:53.925562,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,10.126111,0.3985474039163111
2025-02-24 15:18:55.951355,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,12.151904,0.47827935046734493
2025-02-24 15:18:57.977586,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,14.178135,0.5580285359922469
2025-02-24 15:19:00.004725,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,16.205274,0.6378134589332957
2025-02-24 15:19:02.029085,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,3578676,44776,18.229634,0.7174890049145737
2025-02-24 15:19:04.056993,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,24366786,45156,20.257542,0.7973041944558613
2025-02-24 15:19:06.084618,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,24366786,45156,22.285167,0.8771082455733942
2025-02-24 15:19:08.107242,1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,24366786,45156,24.307791,0.9567154653934045
