run_time,user_count
0.00099971704185009,53
1.0031706430017948,45
2.0038094241172075,50
3.0040864208713174,49
4.008548676036298,47
5.009841114282608,52
6.012654445134103,48
7.0132606737315655,51
8.017115275375545,45
9.01810183096677,52
10.02183257509023,52
11.022515869699419,50
12.026615315116942,48
13.027443914674222,53
14.03125159535557,47
15.032273064367473,45
16.035988436080515,45
17.037330208346248,52
18.039198474027216,50
19.040104267187417,54
20.043580851517618,50
21.04397082142532,47
22.04848277848214,53
23.0494823474437,52
24.052799456752837,51
25.053680242970586,53
26.057371166534722,48
27.05826984066516,54
28.061923041008413,46
29.062418783083558,50
30.066607830114663,47
31.06798601243645,46
32.07176402956247,50
33.0727382497862,45
34.07634064834565,52
35.0770583730191,50
36.080871963873506,49
37.08163756132126,47
38.08508109673858,47
39.08549067005515,47
40.08900628145784,54
41.08996646013111,51
42.09346772544086,48
43.0945552829653,46
44.09773799031973,45
45.09869358036667,51
46.101867854595184,46
47.10326296277344,53
48.10610076319426,46
49.10693238954991,49
50.11059532221407,45
51.11197694204748,48
52.118105611763895,49
53.11920961923897,46
54.12052665557712,49
55.121053899638355,53
56.12563970964402,48
57.12676471006125,54
58.12999953888357,54
59.13111103605479,50
60.13592314813286,54
61.13700217008591,52
62.13956495281309,50
63.14038977306336,48
64.14447323139757,50
65.1457614004612,49
66.14932671748102,47
67.15047168638557,51
68.15451173018664,46
69.15575956366956,49
70.15921649057418,49
71.16014622710645,51
72.16346143372357,52
73.16425573360175,50
74.16804193984717,52
75.16929111722857,45
76.1703072655946,48
77.17069799546152,49
78.17494161706418,48
79.17564471345395,45
80.179443879053,54
81.18018116150051,54
82.18405506014824,54
83.1847959170118,45
84.18875222839415,48
85.18974015768617,51
86.19361232034862,52
87.1940687932074,49
88.19911222346127,53
89.19993868935853,47
90.20395914558321,53
91.2046133056283,48
92.20826863031834,49
93.20923798903823,51
94.21282572112978,48
95.21391456760466,47
96.21746025513858,47
97.21776252053678,48
98.22244619484991,50
99.22370453178883,48
100.22653850819916,49
101.22726049553603,48
102.23093313071877,46
103.2313586762175,52
104.23612237349153,54
105.23730195872486,53
106.23938154801726,48
107.23998509626836,51
108.24486432224512,49
109.24612008500844,50
110.24944908637553,45
111.25038629677147,46
112.2540025357157,47
113.25415704026818,45
114.25871925614774,54
115.25935221742839,48
116.26310630887747,51
117.26365336216986,45
118.26717283856124,52
119.26769771426916,45
120.27184157259762,54
121.27218856383115,54
122.27627507783473,50
123.27703808620572,53
124.28078657854348,46
125.28130683209747,45
126.28598968312144,52
127.28708834480494,54
128.29109179228544,51
129.2918384373188,47
130.29572704434395,54
131.29632977116853,45
132.30041362065822,54
133.30160826537758,49
134.30482805613428,51
135.30562618933618,53
136.30959697254002,48
137.3101565921679,45
138.31442891154438,49
139.31523267552257,46
140.31952546909451,54
141.3204492535442,46
142.32390964683145,47
143.32462585624307,47
144.33271894045174,51
145.3331416286528,54
146.33865875564516,53
147.3399754287675,48
148.343150049448,51
149.3435449777171,46
150.34787137899548,52
151.3489219918847,48
152.35314953885972,54
153.35354000423104,51
154.35832019429654,46
155.35955492965877,50
156.36302637960762,52
157.36380243301392,47
158.36781770177186,50
159.3688202276826,51
160.37274047452956,45
161.3739562034607,49
162.37724795751274,50
163.3777834493667,46
164.3821237711236,48
165.38341425079852,54
166.38858702406287,54
167.3893584832549,54
168.39347604569048,51
169.39471456315368,46
170.39881962537766,48
171.40007296949625,46
172.40359638724476,49
173.40428771730512,48
174.40853268280625,51
175.40922914352268,54
176.41291054710746,48
177.41327464953065,54
178.4181464407593,53
179.4188058618456,45
180.4225093945861,48
181.4233742542565,51
182.42665331903845,51
183.42769784573466,45
184.4315996542573,50
185.43216300662607,46
186.43645445164293,52
187.43755688052624,48
188.44072467833757,50
189.441635414958,47
190.44531618338078,54
191.446173700504,48
192.44990759529173,45
193.45054830610752,45
194.45411380007863,45
195.45506347436458,48
196.45864077843726,51
197.45988596230745,48
198.46343950554729,51
199.4641019301489,49
200.46795284654945,48
201.46837829146534,51
202.4732005307451,48
203.47444069106132,54
204.47789230197668,50
205.47909328248352,48
206.48326537106186,49
207.48375649377704,46
208.48820042610168,46
209.48940049204975,49
210.49247552268207,48
211.4930680776015,49
212.49786755722016,47
213.4982719058171,50
214.50289878528565,50
215.50354838185012,45
216.5077062016353,54
217.50873340759426,48
218.51302036643028,49
219.51364475581795,54
220.5174137558788,53
221.51813769619912,46
222.5222930945456,45
223.52308398485184,53
224.52703944500536,54
225.5280665392056,54
226.53205492999405,46
227.53257695958018,52
228.5369508434087,47
229.53759515751153,49
230.54255924746394,50
231.54383042734116,52
232.54771243035793,52
233.5486076362431,52
234.55294364597648,48
235.55340994521976,51
236.55717813782394,52
237.55826601944864,54
238.56143901031464,54
239.56248392444104,47
240.5654942886904,48
241.56606679130346,54
242.5701057733968,45
243.57057025749236,54
244.57492510601878,49
245.57550027035177,45
246.57967592868954,50
247.58064166177064,54
248.58418229222298,46
249.58477995730937,50
250.58969033043832,50
251.59105242136866,49
252.59377703163773,45
253.5949594154954,45
254.59850509371608,47
255.59993066452444,45
256.6036679968238,50
257.60409461241215,52
258.6092321490869,49
259.60990302450955,53
260.61430202424526,50
261.61572132632136,45
262.61915932781994,46
263.62010943423957,50
264.62424637936056,49
265.62512508872896,52
266.62886049225926,52
267.6299202144146,46
268.633613598533,48
269.6347658308223,49
270.6388361528516,49
271.6396504379809,50
272.64351334422827,46
273.64439980871975,53
274.6488604452461,47
275.6496052797884,53
276.65410788636655,46
277.65444216597825,54
278.6581196086481,54
279.6593365073204,53
280.66348396334797,51
281.6641011107713,54
282.6687282733619,52
283.6697966614738,47
284.6739523373544,48
285.67507600877434,53
286.6790011227131,53
287.6801948035136,50
288.6831461330876,54
289.68410389870405,50
290.6875443374738,53
291.68842827901244,50
292.69260131474584,49
293.69342846702784,53
294.6981025682762,51
295.6992353517562,48
296.70276855677366,54
297.7032683426514,48
298.70823888108134,51
299.709189299494,49
300.71293537598103,48
301.71378652285784,48
302.7181067019701,46
303.71916467137635,53
304.72357608843595,51
305.7250165976584,52
306.728488673456,52
307.7294766716659,45
308.7329760370776,52
309.73404411785305,54
310.73817836213857,48
311.73922014050186,53
312.7432081270963,50
313.74475703854114,53
314.74851650185883,45
315.74948750063777,53
316.7572476537898,54
317.7577063553035,51
318.75980179198086,51
319.7611491512507,45
320.7657848102972,51
321.7659720266238,52
322.7707051821053,45
323.7723725801334,49
324.77624648530036,52
325.777195263654,45
326.7805150784552,50
327.7812093151733,46
328.7858696691692,52
329.78683521877974,52
330.7910441542044,51
331.7920167390257,49
332.79642453510314,51
333.79791072383523,48
334.8014419814572,45
335.80233471561223,52
336.80628878530115,47
337.8069453826174,45
338.8111093752086,54
339.8117312481627,46
340.8160681538284,52
341.81654561311007,47
342.8208302007988,46
343.8216089392081,47
344.8256992381066,46
345.82635470386595,48
346.83044763840735,52
347.8316622963175,54
348.83565286546946,50
349.836737819016,48
350.8406793670729,46
351.8418413735926,46
352.8449831213802,51
353.8459052173421,46
354.85049084108323,47
355.8510652547702,54
356.85541429929435,47
357.85620768461376,54
358.8605592492968,51
359.86142615415156,48
360.8663238240406,53
361.867036992684,48
362.8708457611501,50
363.87141618225724,52
364.87560300156474,49
365.876928884536,51
366.88069818820804,49
367.8815719615668,50
368.8861913429573,53
369.8869526395574,54
370.8913166048005,48
371.892547454685,47
372.8965500481427,48
373.89711311645806,52
374.90211796574295,50
375.90303229074925,51
376.9072132157162,46
377.9079316165298,51
378.91211496759206,53
379.9125993466005,51
380.91714888159186,46
381.91763911396265,49
382.92208389472216,48
383.9230099078268,47
384.92724666558206,54
385.9283127877861,50
386.9321513790637,50
387.9332346068695,52
388.93741981778294,48
389.9386298544705,47
390.94227606616914,47
391.94336089864373,54
392.94708020146936,51
393.9480623891577,48
394.9520694427192,54
395.95312305446714,51
396.9575463188812,51
