node_id,node_name,pod_name,usage_cpu,usage_memory,timestamp
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:04.732865526
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:06.757227923
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:08.780349069
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:10.802649370
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:12.825742555
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,46954643,46020,2025-02-24 00:01:14.850196823
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:16.872257462
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:18.894565752
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:20.916417685
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:22.939364076
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:24.962595067
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:26.983827871
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,43662727,45780,2025-02-24 00:01:29.010090593
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,49757091,45680,2025-02-24 00:01:31.031970486
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,49757091,45680,2025-02-24 00:01:33.052710984
1f4669df-f1ac-4f87-9eac-abf76b4e93cf,clever-tarek-w1,recommendationservice-7fd87c699b-lcrlq,49757091,45680,2025-02-24 00:01:35.072860314
